Sample,Location,Analyte,Element,Wavelength,ICPsignal,ICPsignal_error,NOMINAL_CONCENTRATIONS
GDP14,66,Ca 317.933,Ca,317.933,24565.78,117.48,
GDP14,66,Fe 238.204,Fe,238.204,56685.05,412.5,
GDP14,66,Fe 239.563,Fe,239.563,6752.72,9.51,
GDP14,66,K 404.721,K,404.721,85.47,25.18,
GDP14,66,K 766.491,K,766.491,176485.72,785.46,
GDP14,66,Ti 334.941,Ti,334.941,362925.25,681.2,
GDP14,66,Ti 336.122,Ti,336.122,180968.52,344.23,
GDP14,66,Ti 336.122,Ti,336.122,180968.52,344.23,
GDP15,67,Al 308.215,Al,308.215,63500.91,321.91,
GDP15,67,Al 396.152,Al,396.152,330789.97,2500.43,
GDP15,67,Be 313.042,Be,313.042,-2210.6,7.63,
GDP15,67,Be 313.107,Be,313.107,349.72,8.21,
GDP15,67,Ca 315.887,Ca,315.887,8844.75,19.71,
GDP15,67,Ca 317.933,Ca,317.933,32594.64,98.39,
GDP15,67,Fe 238.204,Fe,238.204,51109.5,142.25,
GDP15,67,Fe 239.563,Fe,239.563,6111.65,7.96,
GDP15,67,K 404.721,K,404.721,121.71,8.18,
GDP15,67,K 766.491,K,766.491,165285.51,764.49,
GDP15,67,Ti 334.941,Ti,334.941,349427.13,1698.36,
GDP15,67,Ti 336.122,Ti,336.122,174169.18,837.52,
GDP15,67,Ti 336.122,Ti,336.122,174169.18,837.52,
GDP17,68,Al 308.215,Al,308.215,62982.54,518.25,
GDP17,68,Al 396.152,Al,396.152,328762.06,3280.03,
GDP17,68,Be 313.042,Be,313.042,-2313.2,7.67,
GDP17,68,Be 313.107,Be,313.107,246,14.45,
GDP17,68,Ca 315.887,Ca,315.887,8298.29,30.67,
GDP17,68,Ca 317.933,Ca,317.933,30648.98,153.32,
GDP17,68,Fe 238.204,Fe,238.204,56961.22,387.21,
GDP17,68,Fe 239.563,Fe,239.563,6816.55,42.09,
GDP17,68,K 404.721,K,404.721,122.14,24.39,
GDP17,68,K 766.491,K,766.491,167671.72,983.57,
GDP17,68,Ti 334.941,Ti,334.941,364404.07,1227.95,
GDP17,68,Ti 336.122,Ti,336.122,181758.96,576.41,
GDP17,68,Ti 336.122,Ti,336.122,181758.96,576.41,
GDP18,69,Al 308.215,Al,308.215,94533.07,468.53,
GDP18,69,Al 396.152,Al,396.152,501462.2,3586.09,
GDP18,69,Be 313.042,Be,313.042,-1977.51,12.84,
GDP18,69,Be 313.107,Be,313.107,403.33,10.91,
GDP18,69,Ca 315.887,Ca,315.887,10164.76,62.85,
GDP18,69,Ca 317.933,Ca,317.933,37128.92,110.19,
GDP18,69,Fe 238.204,Fe,238.204,68700.07,136.49,
GDP18,69,Fe 239.563,Fe,239.563,8195.12,15.81,
GDP18,69,K 404.721,K,404.721,108.79,29.39,
GDP18,69,K 766.491,K,766.491,220372.21,1563.73,
GDP18,69,Ti 334.941,Ti,334.941,599231.26,6132.17,
GDP18,69,Ti 336.122,Ti,336.122,301243.61,925.88,
GDP18,69,Ti 336.122,Ti,336.122,301243.61,925.88,
GDP24,70,Al 308.215,Al,308.215,86263.93,472.58,
GDP24,70,Al 396.152,Al,396.152,458058.15,2276.98,
GDP24,70,Be 313.042,Be,313.042,-2259.82,8.82,
GDP24,70,Be 313.107,Be,313.107,396.91,10.07,
GDP24,70,Ca 315.887,Ca,315.887,4957.87,24.42,
GDP24,70,Ca 317.933,Ca,317.933,18800.22,91.71,
GDP24,70,Fe 238.204,Fe,238.204,42228.18,347.63,
GDP24,70,Fe 239.563,Fe,239.563,5083.2,22.09,
GDP24,70,K 404.721,K,404.721,148.74,22.43,
GDP24,70,K 766.491,K,766.491,213849.15,1122.87,
GDP24,70,Ti 334.941,Ti,334.941,439283.47,1534.45,
GDP24,70,Ti 336.122,Ti,336.122,219309.05,716.63,
GDP24,70,Ti 336.122,Ti,336.122,219309.05,716.63,
GDP25F,71,Al 308.215,Al,308.215,87221.79,388.11,
GDP25F,71,Al 396.152,Al,396.152,461328.71,4554.62,
GDP25F,71,Be 313.042,Be,313.042,-2248.93,61.02,
GDP25F,71,Be 313.107,Be,313.107,470.73,31.42,
GDP25F,71,Ca 315.887,Ca,315.887,5426.11,17.34,
GDP25F,71,Ca 317.933,Ca,317.933,20475.15,87.42,
GDP25F,71,Fe 238.204,Fe,238.204,48199.15,159.44,
GDP25F,71,Fe 239.563,Fe,239.563,5797.5,19.11,
GDP25F,71,K 404.721,K,404.721,123.84,8.3,
GDP25F,71,K 766.491,K,766.491,201239.96,1003.18,
GDP25F,71,Ti 334.941,Ti,334.941,488752.62,2417.28,
GDP25F,71,Ti 336.122,Ti,336.122,246386.53,736.18,
GDP25F,71,Ti 336.122,Ti,336.122,246386.53,736.18,
GDP26,72,Al 308.215,Al,308.215,102999.47,386.5,
GDP26,72,Al 396.152,Al,396.152,543476.75,955.28,
GDP26,72,Be 313.042,Be,313.042,-483.31,17.73,
GDP26,72,Be 313.107,Be,313.107,370.81,13.06,
GDP26,72,Ca 315.887,Ca,315.887,9095.11,25.08,
GDP26,72,Ca 317.933,Ca,317.933,33383.59,72.79,
GDP26,72,Fe 238.204,Fe,238.204,66775.41,113.69,
GDP26,72,Fe 239.563,Fe,239.563,7995.65,18.16,
GDP26,72,K 404.721,K,404.721,180.97,10.58,
GDP26,72,K 766.491,K,766.491,236405.05,524.36,
GDP26,72,Ti 334.941,Ti,334.941,573074.01,3978.38,
GDP26,72,Ti 336.122,Ti,336.122,289573.62,884.1,
GDP26,72,Ti 336.122,Ti,336.122,289573.62,884.1,
GDP32,73,Al 308.215,Al,308.215,100337.65,963.56,
GDP32,73,Al 396.152,Al,396.152,528352.9,8403.57,
GDP32,73,Be 313.042,Be,313.042,-1711.37,39.11,
GDP32,73,Be 313.107,Be,313.107,483.34,17.85,
GDP32,73,Ca 315.887,Ca,315.887,10013.82,29.74,
GDP32,73,Ca 317.933,Ca,317.933,36546.66,14.14,
GDP32,73,Fe 238.204,Fe,238.204,73175.67,131.41,
GDP32,73,Fe 239.563,Fe,239.563,8762.7,19.1,
GDP32,73,K 404.721,K,404.721,127.19,10.67,
GDP32,73,K 766.491,K,766.491,226195.84,2825.44,
GDP32,73,Ti 334.941,Ti,334.941,391927.49,1620.4,
GDP32,73,Ti 336.122,Ti,336.122,195505.75,763.06,
GDP32,73,Ti 336.122,Ti,336.122,195505.75,763.06,
GDP43,74,Al 308.215,Al,308.215,41860.27,200.6,
GDP43,74,Al 396.152,Al,396.152,213034.15,1028.35,
GDP43,74,Be 313.042,Be,313.042,-1084.16,22.27,
GDP43,74,Be 313.107,Be,313.107,254.26,9.47,
GDP43,74,Ca 315.887,Ca,315.887,32784.04,87.94,
GDP43,74,Ca 317.933,Ca,317.933,115650.74,243.2,
GDP43,74,Fe 238.204,Fe,238.204,55369.64,199.86,
GDP43,74,Fe 239.563,Fe,239.563,6655.85,15.87,
GDP43,74,K 404.721,K,404.721,66.71,21.77,
GDP43,74,K 766.491,K,766.491,76307.61,212.71,
GDP43,74,Ti 334.941,Ti,334.941,179574.11,464.25,
GDP43,74,Ti 336.122,Ti,336.122,89700.36,247.88,
GDP43,74,Ti 336.122,Ti,336.122,89700.36,247.88,
GDP1BD,75,Al 308.215,Al,308.215,98893.03,446.82,
GDP1BD,75,Al 396.152,Al,396.152,523710.38,5364.32,
GDP1BD,75,Be 313.042,Be,313.042,119.2,7.29,
GDP1BD,75,Be 313.107,Be,313.107,311.83,15.59,
GDP1BD,75,Ca 315.887,Ca,315.887,18325.94,84.28,
GDP1BD,75,Ca 317.933,Ca,317.933,66081.24,77.68,
GDP1BD,75,Fe 238.204,Fe,238.204,240808.77,395.74,
GDP1BD,75,Fe 239.563,Fe,239.563,28969.32,75.95,
GDP1BD,75,K 404.721,K,404.721,90.75,11.71,
GDP1BD,75,K 766.491,K,766.491,229907.16,1187.54,
GDP1BD,75,Ti 334.941,Ti,334.941,185784.85,638.13,
GDP1BD,75,Ti 336.122,Ti,336.122,93133.36,275.45,
GDP1BD,75,Ti 336.122,Ti,336.122,93133.36,275.45,
GDP43BD,76,Al 308.215,Al,308.215,200072.02,1891.19,
GDP43BD,76,Al 396.152,Al,396.152,1069758.02,14761.72,
GDP43BD,76,Be 313.042,Be,313.042,182.53,13.05,
GDP43BD,76,Be 313.107,Be,313.107,1092.29,3.98,
GDP43BD,76,Ca 315.887,Ca,315.887,24464.92,89.42,
GDP43BD,76,Ca 317.933,Ca,317.933,87387.77,34.06,
GDP43BD,76,Fe 238.204,Fe,238.204,135900.14,1051.42,
GDP43BD,76,Fe 239.563,Fe,239.563,16297.41,55.33,
GDP43BD,76,K 404.721,K,404.721,196.3,21.9,
GDP43BD,76,K 766.491,K,766.491,588525.98,10057.96,
GDP43BD,76,Ti 334.941,Ti,334.941,207483.82,1388.72,
GDP43BD,76,Ti 336.122,Ti,336.122,103712.37,665.06,
GDP43BD,76,Ti 336.122,Ti,336.122,103712.37,665.06,
C15.8,77,Al 308.215,Al,308.215,48897.67,419.56,
C15.8,77,Al 396.152,Al,396.152,254296.28,2546.57,
C15.8,77,Be 313.042,Be,313.042,5812.07,43.08,
C15.8,77,Be 313.107,Be,313.107,3055.47,32.88,
C15.8,77,Ca 315.887,Ca,315.887,2968.18,12.81,
C15.8,77,Ca 317.933,Ca,317.933,11836.38,15.01,
C15.8,77,Fe 238.204,Fe,238.204,10577.85,45.36,
C15.8,77,Fe 239.563,Fe,239.563,1276.47,9.34,
C15.8,77,K 404.721,K,404.721,35.31,19.17,
C15.8,77,K 766.491,K,766.491,20568.83,186.11,
C15.8,77,Ti 334.941,Ti,334.941,403272.93,1244.16,
C15.8,77,Ti 336.122,Ti,336.122,200857.63,694.4,
C15.8,77,Ti 336.122,Ti,336.122,200857.63,694.4,
C15.9,78,Al 308.215,Al,308.215,50475.58,664.72,
C15.9,78,Al 396.152,Al,396.152,262359.38,5636.47,
C15.9,78,Be 313.042,Be,313.042,4824.68,35.35,
C15.9,78,Be 313.107,Be,313.107,2975.25,12.97,
C15.9,78,Ca 315.887,Ca,315.887,51423.91,192.58,
C15.9,78,Ca 317.933,Ca,317.933,181706.89,427.24,
C15.9,78,Fe 238.204,Fe,238.204,17523.76,87.62,
C15.9,78,Fe 239.563,Fe,239.563,2091.86,19.18,
C15.9,78,K 404.721,K,404.721,68.45,12.09,
C15.9,78,K 766.491,K,766.491,19487.61,337.51,
C15.9,78,Ti 334.941,Ti,334.941,353943.79,1673.77,
C15.9,78,Ti 336.122,Ti,336.122,176336.25,894.61,
C15.9,78,Ti 336.122,Ti,336.122,176336.25,894.61,
C15.10,79,Al 308.215,Al,308.215,38531.22,679.29,
C15.10,79,Al 396.152,Al,396.152,196658.95,4556.21,
C15.10,79,Be 313.042,Be,313.042,2391.29,184.33,
C15.10,79,Be 313.107,Be,313.107,1958.88,47.46,
C15.10,79,Ca 315.887,Ca,315.887,2356.15,11.37,
C15.10,79,Ca 317.933,Ca,317.933,9676.57,19.35,
C15.10,79,Fe 238.204,Fe,238.204,25222.59,72.57,
C15.10,79,Fe 239.563,Fe,239.563,3030.06,25.15,
C15.10,79,K 404.721,K,404.721,56.71,9.79,
C15.10,79,K 766.491,K,766.491,29794.08,471.17,
C15.10,79,Ti 334.941,Ti,334.941,329585.18,1031.08,
C15.10,79,Ti 336.122,Ti,336.122,164179.78,591.07,
C15.10,79,Ti 336.122,Ti,336.122,164179.78,591.07,
LB15.3,80,Al 308.215,Al,308.215,28006.11,237.17,
LB15.3,80,Al 396.152,Al,396.152,139532.13,1677.38,
LB15.3,80,Be 313.042,Be,313.042,-586.63,9.74,
LB15.3,80,Be 313.107,Be,313.107,57.4,8.89,
LB15.3,80,Ca 315.887,Ca,315.887,6137.07,10.68,
LB15.3,80,Ca 317.933,Ca,317.933,23011.69,63.07,
LB15.3,80,Fe 238.204,Fe,238.204,10842.48,138.97,
LB15.3,80,Fe 239.563,Fe,239.563,1304.55,6.34,
LB15.3,80,K 404.721,K,404.721,46.62,10.51,
LB15.3,80,K 766.491,K,766.491,21883.49,287.66,
LB15.3,80,Ti 334.941,Ti,334.941,421350.24,1405.07,
LB15.3,80,Ti 336.122,Ti,336.122,210042.75,651.28,
LB15.3,80,Ti 336.122,Ti,336.122,210042.75,651.28,
LB15.4,81,Al 308.215,Al,308.215,60118.55,687.77,
LB15.4,81,Al 396.152,Al,396.152,314463.01,5588.48,
LB15.4,81,Be 313.042,Be,313.042,-2003.63,27.72,
LB15.4,81,Be 313.107,Be,313.107,262.3,22.13,
LB15.4,81,Ca 315.887,Ca,315.887,9719.88,17.25,
LB15.4,81,Ca 317.933,Ca,317.933,35636.2,66.29,
LB15.4,81,Fe 238.204,Fe,238.204,12649.82,35.67,
LB15.4,81,Fe 239.563,Fe,239.563,1533.42,5.56,
LB15.4,81,K 404.721,K,404.721,38.38,5.8,
LB15.4,81,K 766.491,K,766.491,20564.86,152.1,
LB15.4,81,Ti 334.941,Ti,334.941,457098.91,536.18,
LB15.4,81,Ti 336.122,Ti,336.122,227380.17,223.04,
LB15.4,81,Ti 336.122,Ti,336.122,227380.17,223.04,
LB15.5,82,Al 308.215,Al,308.215,51993.47,226.61,
LB15.5,82,Al 396.152,Al,396.152,270304.41,2754.23,
LB15.5,82,Be 313.042,Be,313.042,-2065.16,14.47,
LB15.5,82,Be 313.107,Be,313.107,134.29,11.84,
LB15.5,82,Ca 315.887,Ca,315.887,12076.4,61.38,
LB15.5,82,Ca 317.933,Ca,317.933,43829.75,208.24,
LB15.5,82,Fe 238.204,Fe,238.204,24898.05,63.6,
LB15.5,82,Fe 239.563,Fe,239.563,2989.71,7.29,
LB15.5,82,K 404.721,K,404.721,28.78,4.95,
LB15.5,82,K 766.491,K,766.491,30266.22,282.05,
LB15.5,82,Ti 334.941,Ti,334.941,306964.48,760.18,
LB15.5,82,Ti 336.122,Ti,336.122,153006.37,432.37,
LB15.5,82,Ti 336.122,Ti,336.122,153006.37,432.37,
LB15.6,83,Al 308.215,Al,308.215,44460.24,333.85,
LB15.6,83,Al 396.152,Al,396.152,229352.88,2078.35,
LB15.6,83,Be 313.042,Be,313.042,-539.13,26.2,
LB15.6,83,Be 313.107,Be,313.107,146.65,21.26,
LB15.6,83,Ca 315.887,Ca,315.887,4965.17,3.99,
LB15.6,83,Ca 317.933,Ca,317.933,18815.47,38.35,
LB15.6,83,Fe 238.204,Fe,238.204,4560.95,4.22,
LB15.6,83,Fe 239.563,Fe,239.563,550.08,6.15,
LB15.6,83,K 404.721,K,404.721,35.13,14.46,
LB15.6,83,K 766.491,K,766.491,12018.4,71.42,
LB15.6,83,Ti 334.941,Ti,334.941,299894.31,180.16,
LB15.6,83,Ti 336.122,Ti,336.122,149358.38,178.45,
LB15.6,83,Ti 336.122,Ti,336.122,149358.38,178.45,
LB15.7,84,Al 308.215,Al,308.215,38030.21,137.69,
LB15.7,84,Al 396.152,Al,396.152,193233.75,1644.34,
LB15.7,84,Be 313.042,Be,313.042,-2466.83,28.93,
LB15.7,84,Be 313.107,Be,313.107,30.86,22.83,
LB15.7,84,Ca 315.887,Ca,315.887,5322.37,15.13,
LB15.7,84,Ca 317.933,Ca,317.933,20010.88,92.11,
LB15.7,84,Fe 238.204,Fe,238.204,7154.67,8.56,
LB15.7,84,Fe 239.563,Fe,239.563,869.67,2.36,
LB15.7,84,K 404.721,K,404.721,27.42,13.28,
LB15.7,84,K 766.491,K,766.491,13900.73,126.38,
LB15.7,84,Ti 334.941,Ti,334.941,318991.01,358.01,
LB15.7,84,Ti 336.122,Ti,336.122,158961.32,260.75,
LB15.7,84,Ti 336.122,Ti,336.122,158961.32,260.75,
GCFG1703Al,85,Al 308.215,Al,308.215,40326.47,336.09,
GCFG1703Al,85,Al 396.152,Al,396.152,202721.04,2746.94,
GCFG1703Al,85,Be 313.042,Be,313.042,2076838.18,38358.94,
GCFG1703Al,85,Be 313.107,Be,313.107,1019880.38,18873.22,
GCFG1703Al,85,Ca 315.887,Ca,315.887,715.29,9.76,
GCFG1703Al,85,Ca 317.933,Ca,317.933,3636.57,11.53,
GCFG1703Al,85,Fe 238.204,Fe,238.204,34169.46,128.63,
GCFG1703Al,85,Fe 239.563,Fe,239.563,4089.84,12.9,
GCFG1703Al,85,K 404.721,K,404.721,26.59,10.48,
GCFG1703Al,85,K 766.491,K,766.491,6749.6,33.87,
GCFG1703Al,85,Ti 334.941,Ti,334.941,3512.74,15.76,
GCFG1703Al,85,Ti 336.122,Ti,336.122,1806.06,25.11,
GCFG1703Al,85,Ti 336.122,Ti,336.122,1806.06,25.11,
CoQTZ6Al,86,Al 308.215,Al,308.215,51145.53,154.78,
CoQTZ6Al,86,Al 396.152,Al,396.152,261492.94,935.41,
CoQTZ6Al,86,Be 313.042,Be,313.042,2519186.66,18731.72,
CoQTZ6Al,86,Be 313.107,Be,313.107,1239008.46,8497.64,
CoQTZ6Al,86,Ca 315.887,Ca,315.887,529.92,10.64,
CoQTZ6Al,86,Ca 317.933,Ca,317.933,2924.16,10.76,
CoQTZ6Al,86,Fe 238.204,Fe,238.204,52462.44,98.43,
CoQTZ6Al,86,Fe 239.563,Fe,239.563,6292.57,17.73,
CoQTZ6Al,86,K 404.721,K,404.721,27,13.22,
CoQTZ6Al,86,K 766.491,K,766.491,1848.18,63.36,
CoQTZ6Al,86,Ti 334.941,Ti,334.941,53580.24,153.73,
CoQTZ6Al,86,Ti 336.122,Ti,336.122,26903.09,39.29,
CoQTZ6Al,86,Ti 336.122,Ti,336.122,26903.09,39.29,
17CJ01Al,87,Al 308.215,Al,308.215,38269.58,187.39,
17CJ01Al,87,Al 396.152,Al,396.152,192584.7,882.57,
17CJ01Al,87,Be 313.042,Be,313.042,1225031.14,4763.53,
17CJ01Al,87,Be 313.107,Be,313.107,600002.12,2953.79,
17CJ01Al,87,Ca 315.887,Ca,315.887,14132.22,65.09,
17CJ01Al,87,Ca 317.933,Ca,317.933,51226.25,121.4,
17CJ01Al,87,Fe 238.204,Fe,238.204,72528.06,207.6,
17CJ01Al,87,Fe 239.563,Fe,239.563,8689.54,47.72,
17CJ01Al,87,K 404.721,K,404.721,61.39,12.73,
17CJ01Al,87,K 766.491,K,766.491,47622.55,300.47,
17CJ01Al,87,Ti 334.941,Ti,334.941,144319.58,673.43,
17CJ01Al,87,Ti 336.122,Ti,336.122,72563.06,176.05,
17CJ01Al,87,Ti 336.122,Ti,336.122,72563.06,176.05,
17MAB04Al,88,Al 308.215,Al,308.215,38152.23,383.38,
17MAB04Al,88,Al 396.152,Al,396.152,192302.35,2150.16,
17MAB04Al,88,Be 313.042,Be,313.042,1172618.36,8018.71,
17MAB04Al,88,Be 313.107,Be,313.107,574734.05,4071.18,
17MAB04Al,88,Ca 315.887,Ca,315.887,21357.05,59,
17MAB04Al,88,Ca 317.933,Ca,317.933,76362.93,128.55,
17MAB04Al,88,Fe 238.204,Fe,238.204,106880.18,94.53,
17MAB04Al,88,Fe 239.563,Fe,239.563,12845.76,33,
17MAB04Al,88,K 404.721,K,404.721,28.87,15.03,
17MAB04Al,88,K 766.491,K,766.491,68342.96,752.7,
17MAB04Al,88,Ti 334.941,Ti,334.941,143164.99,1141.68,
17MAB04Al,88,Ti 336.122,Ti,336.122,72491.48,276.89,
17MAB04Al,88,Ti 336.122,Ti,336.122,72491.48,276.89,
17MFE01Al,89,Al 308.215,Al,308.215,39489.17,122.36,
17MFE01Al,89,Al 396.152,Al,396.152,199311.26,2031.45,
17MFE01Al,89,Be 313.042,Be,313.042,1327055.16,26907.21,
17MFE01Al,89,Be 313.107,Be,313.107,649233.89,13310.84,
17MFE01Al,89,Ca 315.887,Ca,315.887,2582.84,22.93,
17MFE01Al,89,Ca 317.933,Ca,317.933,10395.98,9.29,
17MFE01Al,89,Fe 238.204,Fe,238.204,50889.59,265.31,
17MFE01Al,89,Fe 239.563,Fe,239.563,6098.45,15.46,
17MFE01Al,89,K 404.721,K,404.721,33.68,30.25,
17MFE01Al,89,K 766.491,K,766.491,26119.98,139.87,
17MFE01Al,89,Ti 334.941,Ti,334.941,402041.77,702.84,
17MFE01Al,89,Ti 336.122,Ti,336.122,200789.5,323.74,
17MFE01Al,89,Ti 336.122,Ti,336.122,200789.5,323.74,
17MFM01Al,90,Al 308.215,Al,308.215,45442.45,322.34,
17MFM01Al,90,Al 396.152,Al,396.152,232233.55,3040.45,
17MFM01Al,90,Be 313.042,Be,313.042,1748212.13,16018.06,
17MFM01Al,90,Be 313.107,Be,313.107,857908.54,7524.57,
17MFM01Al,90,Ca 315.887,Ca,315.887,11773.26,19.74,
17MFM01Al,90,Ca 317.933,Ca,317.933,42880.44,112.51,
17MFM01Al,90,Fe 238.204,Fe,238.204,38529.09,132.94,
17MFM01Al,90,Fe 239.563,Fe,239.563,4614.62,27.04,
17MFM01Al,90,K 404.721,K,404.721,60.82,23.67,
17MFM01Al,90,K 766.491,K,766.491,37031.05,283.71,
17MFM01Al,90,Ti 334.941,Ti,334.941,578957.91,2701.9,
17MFM01Al,90,Ti 336.122,Ti,336.122,291572.82,1405.37,
17MFM01Al,90,Ti 336.122,Ti,336.122,291572.82,1405.37,
Blank,91,Al 308.215,Al,308.215,2298.17,6.34,0.00
Blank,91,Al 396.152,Al,396.152,480.72,10.49,0.00
Blank,91,Be 313.042,Be,313.042,-2041.17,29.13,0.00
Blank,91,Be 313.107,Be,313.107,-0.04,11.42,0.00
Blank,91,Ca 315.887,Ca,315.887,134.9,12.59,0.00
Blank,91,Ca 317.933,Ca,317.933,993.26,7.22,0.00
Blank,91,Fe 238.204,Fe,238.204,67.38,5.9,0.00
Blank,91,Fe 239.563,Fe,239.563,19.33,4.52,0.00
Blank,91,K 404.721,K,404.721,37.81,17.04,0.00
Blank,91,K 766.491,K,766.491,144.43,19.13,0.00
Blank,91,Ti 334.941,Ti,334.941,567.75,19.8,0.00
Blank,91,Ti 336.122,Ti,336.122,349.13,3.61,0.00
Blank,91,Ti 336.122,Ti,336.122,349.13,3.61,0.00
Standard 1,92,Al 308.215,Al,308.215,13312.21,29.64,0.98
Standard 1,92,Al 396.152,Al,396.152,59763.02,298.32,0.98
Standard 1,92,Be 313.042,Be,313.042,2925122.44,34893.64,0.98
Standard 1,92,Be 313.107,Be,313.107,1438252.03,18525.38,0.98
Standard 1,92,Ca 315.887,Ca,315.887,9957.62,4.54,0.98
Standard 1,92,Ca 317.933,Ca,317.933,36198.89,39.21,0.98
Standard 1,92,Fe 238.204,Fe,238.204,48296.86,121.92,0.98
Standard 1,92,Fe 239.563,Fe,239.563,5846.29,18.96,0.98
Standard 1,92,K 404.721,K,404.721,23.77,13.49,0.99
Standard 1,92,K 766.491,K,766.491,NaN,NaN,0.99
Standard 1,92,Ti 334.941,Ti,334.941,333206.69,561.17,0.99
Standard 1,92,Ti 336.122,Ti,336.122,166470.73,268.33,0.99
Standard 1,92,Ti 336.122,Ti,336.122,166470.73,268.33,0.99
Standard 2,93,Al 308.215,Al,308.215,56611.37,81.42,4.96
Standard 2,93,Al 396.152,Al,396.152,299328.09,1048.17,4.96
Standard 2,93,Be 313.042,Be,313.042,13995542.46,153003.2,4.95
Standard 2,93,Be 313.107,Be,313.107,7060221.87,68474.22,4.95
Standard 2,93,Ca 315.887,Ca,315.887,49034.4,59.18,4.92
Standard 2,93,Ca 317.933,Ca,317.933,172951,168.11,4.92
Standard 2,93,Fe 238.204,Fe,238.204,234832.13,1897.66,4.92
Standard 2,93,Fe 239.563,Fe,239.563,28289.21,64.9,4.92
Standard 2,93,K 404.721,K,404.721,78.85,31.23,4.98
Standard 2,93,K 766.491,K,766.491,424696.58,930.21,4.98
Standard 2,93,Ti 334.941,Ti,334.941,1623487.97,6495.6,4.98
Standard 2,93,Ti 336.122,Ti,336.122,812408.07,3409.44,4.98
Standard 2,93,Ti 336.122,Ti,336.122,812408.07,3409.44,4.98
Standard 3,94,Al 308.215,Al,308.215,104282.58,213.34,9.39
Standard 3,94,Al 396.152,Al,396.152,564073.27,4316.11,9.39
Standard 3,94,Be 313.042,Be,313.042,24903096.28,828839.03,9.37
Standard 3,94,Be 313.107,Be,313.107,12876783.93,425912.23,9.37
Standard 3,94,Ca 315.887,Ca,315.887,90865.46,244.46,9.31
Standard 3,94,Ca 317.933,Ca,317.933,321445.1,956.95,9.31
Standard 3,94,Fe 238.204,Fe,238.204,431866.37,2211.93,9.31
Standard 3,94,Fe 239.563,Fe,239.563,52257.22,168.41,9.31
Standard 3,94,K 404.721,K,404.721,208.63,24.68,9.42
Standard 3,94,K 766.491,K,766.491,874395.81,4624.71,9.42
Standard 3,94,Ti 334.941,Ti,334.941,2997554.03,4472.73,9.42
Standard 3,94,Ti 336.122,Ti,336.122,1500227.8,1906.87,9.42
Standard 3,94,Ti 336.122,Ti,336.122,1500227.8,1906.87,9.42
Standard 4,95,Al 308.215,Al,308.215,219522.89,1823.58,19.92
Standard 4,95,Al 396.152,Al,396.152,1213563.34,20912.73,19.92
Standard 4,95,Be 313.042,Be,313.042,NaN,NaN,19.87
Standard 4,95,Be 313.107,Be,313.107,NaN,NaN,19.87
Standard 4,95,Ca 315.887,Ca,315.887,185461.55,823.45,19.76
Standard 4,95,Ca 317.933,Ca,317.933,655006.92,5079.22,19.76
Standard 4,95,Fe 238.204,Fe,238.204,865328.31,5935.34,19.75
Standard 4,95,Fe 239.563,Fe,239.563,104796.67,212.35,19.75
Standard 4,95,K 404.721,K,404.721,539.79,35.21,19.98
Standard 4,95,K 766.491,K,766.491,2016349.83,10918.09,19.98
Standard 4,95,Ti 334.941,Ti,334.941,6016086.63,50948.5,19.99
Standard 4,95,Ti 336.122,Ti,336.122,3036400.05,24394.14,19.99
Standard 4,95,Ti 336.122,Ti,336.122,3036400.05,24394.14,19.99
17MFM02Al,96,Al 308.215,Al,308.215,46976.99,64.96,
17MFM02Al,96,Al 396.152,Al,396.152,239936.21,642.99,
17MFM02Al,96,Be 313.042,Be,313.042,1790137.01,13961.18,
17MFM02Al,96,Be 313.107,Be,313.107,878890.6,7363.93,
17MFM02Al,96,Ca 315.887,Ca,315.887,8287.35,25.36,
17MFM02Al,96,Ca 317.933,Ca,317.933,30531.79,112.67,
17MFM02Al,96,Fe 238.204,Fe,238.204,10256.21,103.69,
17MFM02Al,96,Fe 239.563,Fe,239.563,1242.46,1.11,
17MFM02Al,96,K 404.721,K,404.721,37.67,9.13,
17MFM02Al,96,K 766.491,K,766.491,32422.37,153.18,
17MFM02Al,96,Ti 334.941,Ti,334.941,580539.03,1156.39,
17MFM02Al,96,Ti 336.122,Ti,336.122,292165.76,415.27,
17MFM02Al,96,Ti 336.122,Ti,336.122,292165.76,415.27,
17MFM03Al,97,Al 308.215,Al,308.215,41847.45,366.92,
17MFM03Al,97,Al 396.152,Al,396.152,211538.18,2730.98,
17MFM03Al,97,Be 313.042,Be,313.042,1403162.11,6797.78,
17MFM03Al,97,Be 313.107,Be,313.107,686741.4,2798.35,
17MFM03Al,97,Ca 315.887,Ca,315.887,6989.59,29.17,
17MFM03Al,97,Ca 317.933,Ca,317.933,25981.35,47.14,
17MFM03Al,97,Fe 238.204,Fe,238.204,13223.18,46.83,
17MFM03Al,97,Fe 239.563,Fe,239.563,1592.71,2.2,
17MFM03Al,97,K 404.721,K,404.721,57.58,36.99,
17MFM03Al,97,K 766.491,K,766.491,46903.34,314.06,
17MFM03Al,97,Ti 334.941,Ti,334.941,342968.3,867.12,
17MFM03Al,97,Ti 336.122,Ti,336.122,171206.04,545.83,
17MFM03Al,97,Ti 336.122,Ti,336.122,171206.04,545.83,
17MFM06Al,98,Al 308.215,Al,308.215,42699.08,605.93,
17MFM06Al,98,Al 396.152,Al,396.152,217101.71,4177.74,
17MFM06Al,98,Be 313.042,Be,313.042,1660977.2,31385.04,
